192.168.100.4|192.168.100.4|80
192.168.100.6|192.168.100.6|80
192.168.100.7|192.168.100.7|80
192.168.100.8|192.168.100.8|80
192.168.100.13|192.168.100.13|80
192.168.100.20|192.168.100.20|80
192.168.100.21|192.168.100.21|80
192.168.100.22|192.168.100.22|80
192.168.100.23|192.168.100.23|80
192.168.100.24|192.168.100.24|80
192.168.100.25|192.168.100.25|80
192.168.100.26|192.168.100.26|80
192.168.100.27|192.168.100.27|80
192.168.100.28|192.168.100.28|80
192.168.100.29|192.168.100.29|80
192.168.100.30|192.168.100.30|80
192.168.100.31|192.168.100.31|80
192.168.100.32|192.168.100.32|80
192.168.100.33|192.168.100.33|80
192.168.100.34|192.168.100.34|80
192.168.100.35|192.168.100.35|80
192.168.100.36|192.168.100.36|80
192.168.100.37|192.168.100.37|80
192.168.100.39|192.168.100.39|80
192.168.100.40|192.168.100.40|80
192.168.100.41|192.168.100.41|80
192.168.100.42|192.168.100.42|80
192.168.100.44|192.168.100.44|80
192.168.100.45|192.168.100.45|80
192.168.100.46|192.168.100.46|80
192.168.100.48|192.168.100.48|80
192.168.100.49|192.168.100.49|80
192.168.100.50|192.168.100.50|80
192.168.100.53|192.168.100.53|80
192.168.100.55|192.168.100.55|80
192.168.100.58|192.168.100.58|80
192.168.100.59|192.168.100.59|80
192.168.100.60|192.168.100.60|80
192.168.100.61|192.168.100.61|80
192.168.100.62|192.168.100.62|80
192.168.100.63|192.168.100.63|80
192.168.100.64|192.168.100.64|80
192.168.100.65|192.168.100.65|80
192.168.100.66|192.168.100.66|80
192.168.100.68|192.168.100.68|80
192.168.100.69|192.168.100.69|80
192.168.100.71|192.168.100.71|80
192.168.100.72|192.168.100.72|80
192.168.100.73|192.168.100.73|80
192.168.100.74|192.168.100.74|80
192.168.100.76|192.168.100.76|80
192.168.100.77|192.168.100.77|80
192.168.100.78|192.168.100.78|80
192.168.100.79|192.168.100.79|80
192.168.100.80|192.168.100.80|80
192.168.100.81|192.168.100.81|80
192.168.100.82|192.168.100.82|80
192.168.100.83|192.168.100.83|80
192.168.100.84|192.168.100.84|80
192.168.100.153|192.168.100.153|80
192.168.100.154|192.168.100.154|80
192.168.100.155|192.168.100.155|80
192.168.100.156|192.168.100.156|80
192.168.100.157|192.168.100.157|80
192.168.100.162|192.168.100.162|80
192.168.100.163|192.168.100.163|80
192.168.100.164|192.168.100.164|80
192.168.100.165|192.168.100.165|80
192.168.100.166|192.168.100.166|80
192.168.100.167|192.168.100.167|80
192.168.100.168|192.168.100.168|80
192.168.100.169|192.168.100.169|80
192.168.100.170|192.168.100.170|80
192.168.100.171|192.168.100.171|80
192.168.100.172|192.168.100.172|80
192.168.100.173|192.168.100.173|80
192.168.100.174|192.168.100.174|80
192.168.100.175|192.168.100.175|80
192.168.100.176|192.168.100.176|80
192.168.100.177|192.168.100.177|80
192.168.100.180|192.168.100.180|80
192.168.100.181|192.168.100.181|80
192.168.100.183|192.168.100.183|80
192.168.100.184|192.168.100.184|80
192.168.100.185|192.168.100.185|80
192.168.100.187|192.168.100.187|80
192.168.100.188|192.168.100.188|80
192.168.100.189|192.168.100.189|80
192.168.100.193|192.168.100.193|80
192.168.100.194|192.168.100.194|80
192.168.100.195|192.168.100.195|80
192.168.100.196|192.168.100.196|80
192.168.100.197|192.168.100.197|80
192.168.100.198|192.168.100.198|80
192.168.100.199|192.168.100.199|80
192.168.100.200|192.168.100.200|80
192.168.100.202|192.168.100.202|80
192.168.100.203|192.168.100.203|80
192.168.100.204|192.168.100.204|80
192.168.100.207|192.168.100.207|80
192.168.100.230|192.168.100.230|80
192.168.100.231|192.168.100.231|80
192.168.100.232|192.168.100.232|80
192.168.100.233|192.168.100.233|80
192.168.100.234|192.168.100.234|80
192.168.100.235|192.168.100.235|80
192.168.100.236|192.168.100.236|80
192.168.100.238|192.168.100.238|80
192.168.100.239|192.168.100.239|80
192.168.100.247|192.168.100.247|80
192.168.100.249|192.168.100.249|80
192.168.100.251|192.168.100.251|80
